epoch,step,train/brier_fde,train/minADE6,train/minFDE6,train/miss_rate,train/nuscenes/brier_fde,train/nuscenes/minADE6,train/nuscenes/minFDE6,train/nuscenes/miss_rate,val/brier_fde,val/minADE6,val/minFDE6,val/miss_rate,val/nuscenes/brier_fde,val/nuscenes/minADE6,val/nuscenes/minFDE6,val/nuscenes/miss_rate
0,0,,,,,,,,,15.261878967285156,7.814996719360352,14.428411483764648,1.0,15.261878967285156,7.814996719360352,14.428411483764648,1.0
0,0,16.975849151611328,9.972434997558594,16.143136978149414,1.0,16.975849151611328,9.972434997558594,16.143136978149414,1.0,,,,,,,,
1,1,,,,,,,,,13.753209114074707,6.91475772857666,12.919677734375,0.8032786846160889,13.753209114074707,6.91475772857666,12.919677734375,0.8032786846160889
1,1,14.82326889038086,7.833207130432129,13.990409851074219,0.9508196711540222,14.82326889038086,7.833207130432129,13.990409851074219,0.9508196711540222,,,,,,,,
2,2,,,,,,,,,13.015144348144531,6.545360565185547,12.181649208068848,0.7868852615356445,13.015144348144531,6.545360565185547,12.181649208068848,0.7868852615356445
2,2,13.496129035949707,6.912333965301514,12.664460182189941,0.7868852615356445,13.496129035949707,6.912333965301514,12.664460182189941,0.7868852615356445,,,,,,,,
3,3,,,,,,,,,12.647686004638672,6.415234565734863,11.81425666809082,0.7704917788505554,12.647686004638672,6.415234565734863,11.81425666809082,0.7704917788505554
3,3,12.760913848876953,6.550018787384033,11.925398826599121,0.7704917788505554,12.760913848876953,6.550018787384033,11.925398826599121,0.7704917788505554,,,,,,,,
4,4,,,,,,,,,12.503167152404785,6.229804039001465,11.669651985168457,0.7704917788505554,12.503167152404785,6.229804039001465,11.669651985168457,0.7704917788505554
4,4,12.43118953704834,6.4108381271362305,11.597891807556152,0.7377049326896667,12.43118953704834,6.4108381271362305,11.597891807556152,0.7377049326896667,,,,,,,,
5,5,,,,,,,,,12.440811157226562,6.1630682945251465,11.607118606567383,0.7540983557701111,12.440811157226562,6.1630682945251465,11.607118606567383,0.7540983557701111
5,5,12.286616325378418,6.2297258377075195,11.454179763793945,0.7213114500045776,12.286616325378418,6.2297258377075195,11.454179763793945,0.7213114500045776,,,,,,,,
6,6,,,,,,,,,12.191532135009766,6.042040824890137,11.357782363891602,0.7377049326896667,12.191532135009766,6.042040824890137,11.357782363891602,0.7377049326896667
6,6,12.184412956237793,6.157193660736084,11.352900505065918,0.7213114500045776,12.184412956237793,6.157193660736084,11.352900505065918,0.7213114500045776,,,,,,,,
7,7,,,,,,,,,12.009522438049316,5.915565490722656,11.175904273986816,0.7049180269241333,12.009522438049316,5.915565490722656,11.175904273986816,0.7049180269241333
7,7,11.997730255126953,6.028927326202393,11.164427757263184,0.7213114500045776,11.997730255126953,6.028927326202393,11.164427757263184,0.7213114500045776,,,,,,,,
8,8,,,,,,,,,11.917023658752441,5.851131916046143,11.083352088928223,0.7049180269241333,11.917023658752441,5.851131916046143,11.083352088928223,0.7049180269241333
8,8,11.769574165344238,5.911413669586182,10.937214851379395,0.6721311211585999,11.769574165344238,5.911413669586182,10.937214851379395,0.6721311211585999,,,,,,,,
9,9,,,,,,,,,11.760177612304688,5.734225273132324,10.92650032043457,0.7049180269241333,11.760177612304688,5.734225273132324,10.92650032043457,0.7049180269241333
