epoch,step,train/brier_fde,train/minADE6,train/minFDE6,train/miss_rate,train/nuscenes/brier_fde,train/nuscenes/minADE6,train/nuscenes/minFDE6,train/nuscenes/miss_rate,val/brier_fde,val/minADE6,val/minFDE6,val/miss_rate,val/nuscenes/brier_fde,val/nuscenes/minADE6,val/nuscenes/minFDE6,val/nuscenes/miss_rate
0,0,,,,,,,,,15.152466773986816,7.690723896026611,14.319111824035645,1.0,15.152466773986816,7.690723896026611,14.319111824035645,1.0
0,0,16.41067123413086,9.553092002868652,15.576452255249023,1.0,16.41067123413086,9.553092002868652,15.576452255249023,1.0,,,,,,,,
1,1,,,,,,,,,14.53989315032959,7.5494561195373535,13.70654010772705,1.0,14.53989315032959,7.5494561195373535,13.70654010772705,1.0
1,1,14.810559272766113,7.7191386222839355,13.978240013122559,0.9836065769195557,14.810559272766113,7.7191386222839355,13.978240013122559,0.9836065769195557,,,,,,,,
2,2,,,,,,,,,14.222203254699707,7.433813095092773,13.388832092285156,0.9672130942344666,14.222203254699707,7.433813095092773,13.388832092285156,0.9672130942344666
2,2,14.199082374572754,7.499406814575195,13.364156723022461,0.9508196711540222,14.199082374572754,7.499406814575195,13.364156723022461,0.9508196711540222,,,,,,,,
3,3,,,,,,,,,12.884443283081055,6.600354194641113,12.051076889038086,0.7704917788505554,12.884443283081055,6.600354194641113,12.051076889038086,0.7704917788505554
3,3,13.877442359924316,7.397373676300049,13.043774604797363,0.868852436542511,13.877442359924316,7.397373676300049,13.043774604797363,0.868852436542511,,,,,,,,
4,4,,,,,,,,,12.39311408996582,6.381556510925293,11.559768676757812,0.7377049326896667,12.39311408996582,6.381556510925293,11.559768676757812,0.7377049326896667
4,4,12.618307113647461,6.599575519561768,11.786599159240723,0.7377049326896667,12.618307113647461,6.599575519561768,11.786599159240723,0.7377049326896667,,,,,,,,
