epoch,step,train/av2/brier_fde,train/av2/minADE6,train/av2/minFDE6,train/av2/miss_rate,train/brier_fde,train/minADE6,train/minFDE6,train/miss_rate,train/nuscenes/brier_fde,train/nuscenes/minADE6,train/nuscenes/minFDE6,train/nuscenes/miss_rate,train/waymo/brier_fde,train/waymo/minADE6,train/waymo/minFDE6,train/waymo/miss_rate,val/av2/brier_fde,val/av2/minADE6,val/av2/minFDE6,val/av2/miss_rate,val/brier_fde,val/minADE6,val/minFDE6,val/miss_rate,val/nuscenes/brier_fde,val/nuscenes/minADE6,val/nuscenes/minFDE6,val/nuscenes/miss_rate,val/waymo/brier_fde,val/waymo/minADE6,val/waymo/minFDE6,val/waymo/miss_rate
0,7,,,,,,,,,,,,,,,,,37.02537536621094,17.179418563842773,36.1920280456543,0.9451074004173279,39.57103729248047,18.352008819580078,38.73770523071289,0.9635999798774719,33.61665725708008,15.528218269348145,32.78331756591797,0.9722222089767456,39.90266799926758,18.506057739257812,39.06934356689453,0.9651807546615601
0,7,39.38745880126953,18.567237854003906,38.55916976928711,1.0,43.30950164794922,20.92507553100586,42.475440979003906,1.0,47.04578399658203,23.022647857666016,46.21352005004883,1.0,43.553585052490234,21.07442283630371,42.71903610229492,1.0,,,,,,,,,,,,,,,,
